"","user_id","age","gender","profession","big5_openness","big5_conscientiousness","big5_extraversion","big5_agreeableness","big5_neuroticism"
"84","V0084",35,"Male","Scientist",0.51,0.69,0.28,0.61,0.19
"85","V0085",22,"Male","Student",0.69,0.32,0.62,0.72,0.47
"86","V0086",63,"Female","Sales",0.58,0.52,0.56,0.72,0.31
"87","V0087",57,"Male","Sales",0.72,0.57,0.04,0.48,0.64
"88","V0088",57,"Female","Service Worker",0.45,0.47,0.75,0.5,0.15
"89","V0089",38,"Male","Sales",0.55,0.54,0.62,0.7,0.46
"90","V0090",53,"Male","Entrepreneur",0.73,0.54,0.34,0.61,0.33
"91","V0091",53,"Male","Finance",0.78,0.59,0.76,0.55,0.77
"92","V0092",56,"Female","Service Worker",0.64,0.4,0.54,0.53,0.62
"93","V0093",59,"Male","Service Worker",0.57,0.49,0.21,0.42,0.49
"94","V0094",35,"Male","Sales",0.69,0.46,0.4,0.55,0
"95","V0095",44,"Female","Finance",0.66,0.49,0.48,0.56,0.79
"96","V0096",30,"Female","Manager",0.79,0.44,0.34,0.53,0.33
"97","V0097",36,"Female","Scientist",0.92,0.59,0.11,0.56,0.59
"98","V0098",49,"Male","Finance",0.63,0.37,0.32,0.62,0.61
"99","V0099",33,"Male","IT Specialist",0.82,0.61,0.25,0.54,0.36
"100","V0100",46,"Female","Creative",0.69,0.64,0.5,0.72,0.44
"101","V0101",34,"Male","Scientist",0.7,0.3,0.51,0.51,0.75
"102","V0102",61,"Male","Creative",0.68,0.77,0.41,0.55,0.56
"103","V0103",26,"Female","Sales",0.5,0.69,0.72,0.6,1
"104","V0104",38,"Male","Sales",0.63,0.76,0.43,0.56,0.33
"105","V0105",60,"Male","Medical",0.5,0.58,0.62,0.43,0.34
"106","V0106",65,"Male","IT Specialist",0.7,0.89,0.56,0.54,0.35
"107","V0107",25,"Female","Entrepreneur",0.44,0.67,0.65,0.6,0.46
"108","V0108",46,"Male","Finance",0.81,0.59,0.61,0.65,0.45
"109","V0109",55,"Female","Sales",0.78,0.55,0.46,0.54,0.24
"110","V0110",18,"Female","Service Worker",0.79,0.39,0.34,0.45,0.46
"111","V0111",30,"Female","Manager",0.67,0.63,0.5,0.57,0.21
"112","V0112",31,"Male","Student",0.51,0.56,0.34,0.52,0.63
"113","V0113",22,"Female","Student",0.55,0.79,0.69,0.7,0.47
"114","V0114",26,"Male","Medical",0.54,0.65,0.59,0.47,0.24
"115","V0115",33,"Female","Sales",0.42,0.43,0.86,0.55,0.87
"116","V0116",43,"Female","Student",0.39,0.41,0.46,0.72,0.69
"117","V0117",60,"Female","Creative",0.81,0.73,0.45,0.73,0.73
"118","V0118",59,"Male","Service Worker",0.51,0.61,0.54,0.73,0.58
"119","V0119",59,"Female","Sales",0.72,0.48,0.46,0.6,0.61
"120","V0120",50,"Male","Sales",0.36,0.45,0.31,0.67,0.52
"121","V0121",46,"Female","IT Specialist",0.8,0.28,0.25,0.64,0.47
"122","V0122",42,"Male","Student",0.54,0.62,0.34,0.63,0.86
"123","V0123",49,"Female","Scientist",0.86,0.61,0.27,0.65,0.42
"124","V0124",34,"Male","Medical",0.33,0.78,0.59,0.7,0.48
"125","V0125",63,"Female","Creative",0.37,0.82,0.47,0.52,0.36
"126","V0126",31,"Female","Manager",0.5,0.37,0.44,0.65,0.39
"127","V0127",64,"Female","Manager",0.44,0.51,0.51,0.44,0.44
"128","V0128",23,"Male","Creative",0.8,0.42,0.57,0.54,0.64
"129","V0129",64,"Male","Service Worker",0.69,0.57,0.26,0.63,0.57
"130","V0130",60,"Female","Entrepreneur",0.57,0.75,0.72,0.4,0.75
"131","V0131",54,"Male","Manager",0.5,0.53,0.47,0.63,0.41
"132","V0132",33,"Female","Creative",0.6,0.61,0.64,0.56,0.14
"133","V0133",48,"Male","Student",0.58,0.98,0.67,0.41,0.47
"134","V0134",51,"Female","Service Worker",0.66,0.45,0.53,0.63,0.44
"135","V0135",47,"Male","IT Specialist",0.72,0.54,0.53,0.47,0.39
"136","V0136",49,"Male","Student",0.58,0.37,0.48,0.67,0.68
"137","V0137",23,"Male","Sales",0.75,0.32,0.49,0.55,0.27
"138","V0138",39,"Male","Scientist",0.84,0.39,0.82,0.49,0.52
"139","V0139",55,"Male","IT Specialist",0.71,0.79,0.2,0.61,0.29
"140","V0140",48,"Female","Student",0.79,0.41,0.74,0.66,0.82
"141","V0141",23,"Female","Student",0.7,0.74,0.34,0.72,0.53
"142","V0142",37,"Male","Medical",0.74,0.64,0.4,0.62,0.38
"143","V0143",32,"Male","Finance",0.51,0.6,0.26,0.53,0.36
"144","V0144",51,"Male","Scientist",0.67,0.55,0.72,0.47,0.5
"145","V0145",59,"Female","Finance",0.68,0.56,0.66,0.87,0.6
"146","V0146",40,"Male","Creative",0.38,0.65,0.48,0.59,0.56
"147","V0147",29,"Female","Medical",0.89,0.61,0.28,0.49,0.45
"148","V0148",43,"Male","IT Specialist",0.57,0.36,0.63,0.68,0.59
"149","V0149",58,"Male","Finance",0.31,0.56,0.53,0.66,0.65
"150","V0150",18,"Male","Finance",0.66,0.68,0.48,0.55,0.81
"151","V0151",19,"Male","Medical",0.76,0.56,0.31,0.67,0.14
"152","V0152",41,"Male","Scientist",0.59,0.59,0.42,0.48,0.44
"153","V0153",51,"Male","Service Worker",0.62,0.5,0.5,0.64,0.61
"154","V0154",42,"Male","Entrepreneur",0.76,0.78,0.34,0.56,0.17
"155","V0155",45,"Male","Entrepreneur",0.6,0.27,0.51,0.67,0.3
"156","V0156",60,"Female","Sales",0.5,0.45,0.5,0.61,0.5
"157","V0157",31,"Male","Entrepreneur",0.61,0.77,0.31,0.65,0.52
"158","V0158",51,"Female","Student",0.8,0.41,0.66,0.6,0.26
"159","V0159",19,"Female","Medical",0.64,0.68,0.58,0.58,0.47
"160","V0160",48,"Female","Finance",0.69,0.83,0.38,0.45,0.25
"161","V0161",49,"Female","Service Worker",0.97,0.43,0.55,0.66,0.1
"162","V0162",44,"Female","Manager",0.55,0.59,0.27,0.73,0.37
"163","V0163",27,"Female","Finance",0.49,0.78,0.59,0.8,0.35
"164","V0164",45,"Female","Creative",0.79,0.57,0.7,0.73,0.42
"165","V0165",54,"Male","Finance",0.41,0.67,0.27,0.83,0.24
"166","V0166",27,"Female","IT Specialist",0.84,0.22,0.32,0.84,0.43
"167","V0167",22,"Female","Sales",0.51,0.88,0.61,0.61,0.28
"168","V0168",52,"Female","Medical",0.6,0.28,0.44,0.65,0.63
"169","V0169",31,"Female","Service Worker",0.92,0.5,0.38,0.8,0.57
"170","V0170",31,"Female","Scientist",0.52,0.37,0.55,0.62,0.57
"171","V0171",45,"Female","IT Specialist",0.57,0.65,0.58,0.45,0.5
"172","V0172",50,"Female","Entrepreneur",0.34,0.73,0.36,0.62,0.15
"173","V0173",54,"Male","Finance",0.39,0.82,0.16,0.57,0.08
"174","V0174",52,"Female","Creative",0.45,0.39,0.59,0.58,0.37
"175","V0175",43,"Female","Scientist",0.69,0.84,0.65,0.69,0.55
"176","V0176",48,"Male","Student",0.4,0.6,0.54,0.56,0.44
"177","V0177",62,"Female","Creative",0.61,0.45,0.3,0.66,0.2
"178","V0178",60,"Female","Entrepreneur",0.63,0.68,0.57,0.7,0.3
"179","V0179",49,"Female","Scientist",0.56,0.72,0.55,0.66,0.63
"180","V0180",34,"Male","Sales",0.72,0.35,0.48,0.53,0.49
"181","V0181",44,"Female","Student",0.66,0.35,0.64,0.66,0.74
"182","V0182",47,"Female","Finance",0.59,0.57,0.66,0.7,0.45
"183","V0183",53,"Female","Creative",0.62,0.62,0.31,0.57,0.5
"184","V0184",37,"Female","Creative",0.41,0.5,0.13,0.58,0.7
"185","V0185",28,"Male","Creative",0.85,0.45,0.22,0.62,0.48
"186","V0186",34,"Male","Student",0.65,0.73,0.41,0.6,0.43
"187","V0187",26,"Male","Manager",0.6,0.8,0.84,0.48,0.38
"188","V0188",34,"Female","Medical",0.55,0.53,0.38,0.62,0.44
"189","V0189",30,"Female","IT Specialist",0.5,0.71,0.27,0.57,0.56
"190","V0190",48,"Male","Creative",0.77,0.47,0.61,0.64,0.35
"191","V0191",18,"Female","IT Specialist",0.62,0.49,0.65,0.55,0.67
"192","V0192",34,"Female","Finance",0.43,0.66,0.61,0.59,0.16
"193","V0193",50,"Male","Student",0.73,0.58,0.16,0.62,0.47
"194","V0194",45,"Male","Manager",0.72,0.56,0.32,0.61,0.64
"195","V0195",19,"Male","Creative",0.57,0.37,0.55,0.48,0.35
"196","V0196",48,"Female","Medical",0.49,0.57,0.18,0.65,0.94
"197","V0197",25,"Male","Medical",0.46,0.44,0.46,0.57,0.48
"198","V0198",33,"Female","Service Worker",0.67,0.43,0.36,0.58,0.64
"199","V0199",20,"Male","Medical",0.63,0.79,0.67,0.71,0.68
"200","V0200",54,"Female","Entrepreneur",0.45,0.37,0.42,0.65,0.2
"201","V0201",30,"Female","Student",0.62,0.47,0.3,0.76,0.15
"202","V0202",29,"Female","IT Specialist",0.68,0.24,0.35,0.63,0.01
"203","V0203",18,"Female","Scientist",0.62,0.41,0.46,0.69,0.11
"204","V0204",47,"Male","Medical",0.81,0.45,0.56,0.43,0.39
"205","V0205",48,"Male","Manager",0.88,0.69,0.81,0.64,0.21
"206","V0206",54,"Female","Creative",0.72,0.48,0.47,0.55,0.72
"207","V0207",64,"Female","Sales",0.32,0.73,0.23,0.6,0.34
"208","V0208",23,"Female","Service Worker",0.77,0.82,1,0.56,0.68
"209","V0209",33,"Female","Student",0.48,0.5,0.56,0.73,0.38
"210","V0210",27,"Male","Sales",0.35,0.55,0.48,0.45,0.59
"211","V0211",24,"Male","Service Worker",0.65,0.48,0.93,0.84,0.4
"212","V0212",26,"Female","Entrepreneur",0.63,0.71,0.57,0.5,0.67
"213","V0213",58,"Female","Medical",0.6,0.52,0.54,0.47,0.66
"214","V0214",42,"Female","IT Specialist",0.51,0.39,0.46,0.59,0.38
"215","V0215",20,"Male","Entrepreneur",0.71,0.53,0.43,0.65,0.64
"216","V0216",35,"Female","Medical",0.65,0.61,0.71,0.67,0.45
"217","V0217",64,"Female","Manager",0.44,0.31,0.63,0.65,0.47
"218","V0218",45,"Female","IT Specialist",0.4,0.63,0.61,0.6,0.43
"219","V0219",32,"Male","Scientist",0.38,0.7,0.43,0.64,0.29
"220","V0220",46,"Male","IT Specialist",0.59,0.49,0.3,0.7,0.39
"221","V0221",37,"Female","Creative",0.69,0.52,0.28,0.64,0.78
"222","V0222",42,"Male","Service Worker",0.77,0.36,0.62,0.72,0.61
"223","V0223",33,"Male","Sales",0.77,0.46,0.5,0.87,0.62
"224","V0224",41,"Male","IT Specialist",0.63,0.71,0.15,0.65,0.19
"225","V0225",50,"Female","Medical",0.58,0.55,0.78,0.67,0.15
"226","V0226",55,"Female","Manager",0.68,0.53,0.62,0.74,0.89
"227","V0227",60,"Male","Student",0.63,0.31,0.43,0.64,0.32
"228","V0228",58,"Male","Finance",0.59,0.67,0.82,0.73,0.72
"229","V0229",39,"Male","Service Worker",0.64,0.55,0.54,0.71,0.58
"230","V0230",43,"Male","Manager",0.53,0.53,0.23,0.64,0.55
"231","V0231",37,"Male","Scientist",1,0.41,0.58,0.58,0.45
"232","V0232",62,"Female","Scientist",0.21,0.32,0.41,0.66,0.46
"233","V0233",54,"Female","Student",0.83,0.25,0.68,0.55,0.19
"234","V0234",60,"Female","Creative",0.98,0.5,0.23,0.6,0.6
"235","V0235",32,"Male","Service Worker",0.6,0.38,0.64,0.54,0.15
"236","V0236",38,"Male","Manager",0.75,0.55,0.67,0.72,0.54
"237","V0237",51,"Male","Student",0.54,0.5,0.49,0.58,0.65
"238","V0238",42,"Female","Sales",0.77,0.67,0.58,0.98,0.51
"239","V0239",55,"Female","Student",0.76,0.54,0.35,0.69,0.28
"240","V0240",18,"Male","Manager",0.44,0.62,0.46,0.7,0.3
"241","V0241",31,"Male","Student",0.4,0.23,0.48,0.63,0.75
"242","V0242",65,"Male","Student",0.67,0.59,0.69,0.5,0.67
"243","V0243",28,"Female","Creative",0.44,0.62,0.55,0.66,0.38
"244","V0244",45,"Male","Manager",0.81,0.62,0.6,0.4,0.5
"245","V0245",35,"Female","Manager",0.68,0.56,0.37,0.63,0.19
"246","V0246",51,"Male","Entrepreneur",0.69,0.28,0.38,0.46,0.46
"247","V0247",59,"Male","Service Worker",0.65,0.52,0.34,0.6,0.28
"248","V0248",53,"Female","Medical",0.66,0.2,0.66,0.67,0.87
"249","V0249",37,"Female","Medical",0.79,0.45,0.51,0.73,0.57
"250","V0250",32,"Female","Student",0.62,0.57,0.54,0.65,0.26
"251","V0251",24,"Female","Entrepreneur",0.67,0.67,0.47,0.61,0.52
"252","V0252",44,"Female","IT Specialist",0.62,0.6,0.34,0.73,0.82
"253","V0253",47,"Female","Sales",0.75,0.45,0.59,0.67,0.46
"254","V0254",22,"Female","Finance",0.52,0.6,0.6,0.57,0.75
"255","V0255",39,"Male","IT Specialist",0.38,0.73,0.59,0.59,0.29
"256","V0256",37,"Male","Service Worker",0.56,0.45,0.54,0.58,0.23
"257","V0257",58,"Female","Scientist",0.31,0.52,0.61,0.47,0.39
"258","V0258",28,"Female","Student",0.44,0.58,0.56,0.7,0.7
"259","V0259",45,"Male","Manager",0.6,0.48,0.46,0.55,0.92
"260","V0260",55,"Female","Scientist",0.44,0.5,0.34,0.62,0.41
"261","V0261",59,"Female","Creative",0.72,0.7,0.22,0.68,0.49
"262","V0262",26,"Male","IT Specialist",0.59,0.72,0.25,0.54,0.49
"263","V0263",40,"Female","Entrepreneur",0.45,0.48,0.65,0.49,0.35
"264","V0264",43,"Male","Student",0.73,0.73,0.48,0.44,0.44
"265","V0265",58,"Male","Creative",0.54,0.33,0.43,0.49,0.8
"266","V0266",28,"Male","Creative",0.69,0.38,0.62,0.66,0.25
"267","V0267",36,"Female","IT Specialist",0.62,0.56,0.42,0.65,0.21
"268","V0268",45,"Female","Service Worker",0.58,0.52,0.76,0.66,0.45
"269","V0269",38,"Female","Entrepreneur",0.45,0.57,0.65,0.55,0.39
"270","V0270",53,"Male","Sales",0.2,0.49,0.3,0.63,0.41
"271","V0271",59,"Female","Creative",0.3,0.32,0.59,0.61,0.15
"272","V0272",39,"Female","IT Specialist",0.37,0.61,0.3,0.53,0.28
"273","V0273",42,"Female","Entrepreneur",0.49,0.51,0.62,0.61,0.42
"274","V0274",47,"Female","Finance",0.77,0.73,0.48,0.48,0.27
"275","V0275",38,"Male","Manager",0.51,0.76,0.37,0.55,0.71
"276","V0276",61,"Female","Service Worker",0.32,0.51,0.49,0.63,0.46
"277","V0277",38,"Female","Medical",0.46,0.75,0.47,0.66,0
"278","V0278",23,"Female","IT Specialist",0.65,0.77,0.45,0.59,0.65
"279","V0279",64,"Female","Creative",0.64,0.26,0.82,0.61,0.82
"280","V0280",58,"Male","Entrepreneur",0.46,0.67,0.25,0.64,0.47
"281","V0281",27,"Male","Finance",0.52,0.32,0.62,0.36,0.46
"282","V0282",41,"Male","Entrepreneur",0.62,0.6,0.48,0.65,0.35
"283","V0283",24,"Male","Sales",0.51,0.48,0.45,0.59,0.3
"284","V0284",31,"Female","Finance",0.61,0.52,0.59,0.71,0.62
"285","V0285",29,"Female","Finance",0.73,0.68,0.36,0.53,0.51
"286","V0286",27,"Female","Creative",0.65,0.53,0.74,0.51,0.54
"287","V0287",42,"Male","Creative",0.67,0.32,0.55,0.5,0.39
"288","V0288",54,"Male","Entrepreneur",0.71,0.74,0.42,0.64,0.51
"289","V0289",19,"Female","Scientist",0.45,0.36,0.95,0.56,0.35
"290","V0290",52,"Female","Manager",0.53,0.77,0.37,0.54,0.36
"291","V0291",51,"Male","Medical",0.65,0.65,0.43,0.57,0.25
"292","V0292",44,"Female","Manager",0.34,0.6,0.45,0.53,0.35
"293","V0293",63,"Male","IT Specialist",0.44,0.16,0.09,0.51,0.56
"294","V0294",48,"Male","Student",0.58,0.3,0.68,0.45,0.57
"295","V0295",44,"Male","Medical",0.45,0.28,0.33,0.57,0.43
"296","V0296",33,"Male","Service Worker",0.79,0.25,0.49,0.72,0.72
"297","V0297",53,"Male","Student",0.81,0.3,0.58,0.63,0.79
"298","V0298",41,"Male","Service Worker",0.52,0.6,0.5,0.65,0.32
"299","V0299",55,"Male","Medical",0.66,0.54,0.64,0.39,0
"300","V0300",38,"Female","Manager",0.46,0.42,0.63,0.36,0.46
"301","V0301",37,"Male","Medical",0.53,0.71,0.61,0.54,0.53
"302","V0302",28,"Male","Student",0.54,0.43,0.37,0.42,0
"303","V0303",50,"Female","Medical",0.72,0.49,0.6,0.67,0.52
"304","V0304",31,"Male","IT Specialist",0.61,0.47,0.17,0.7,0.41
"305","V0305",45,"Male","Scientist",0.63,0.33,0.33,0.69,0.73
"306","V0306",50,"Female","IT Specialist",0.47,0.85,0.55,0.59,0.45
"307","V0307",46,"Male","Sales",0.62,0.8,0.49,0.31,0.28
"308","V0308",53,"Male","Service Worker",0.64,0.29,0.39,0.72,0.51
"309","V0309",62,"Female","Creative",0.73,0.5,0.74,0.63,0.62
"310","V0310",49,"Female","IT Specialist",0.52,0.26,0.38,0.54,0.55
"311","V0311",55,"Female","IT Specialist",0.62,0.61,0.61,0.64,0.63
"312","V0312",39,"Male","Finance",0.65,0.57,0.48,0.74,0.3
"313","V0313",61,"Male","Service Worker",0.44,0.47,0.66,0.72,0.53
"314","V0314",24,"Female","Finance",0.4,0.28,0.36,0.68,0.37
"315","V0315",61,"Female","Scientist",0.71,0.44,0.54,0.62,0.5
"316","V0316",22,"Female","Manager",0.73,0.73,0.38,0.56,0.39
"317","V0317",48,"Male","Creative",0.65,0.27,0.52,0.72,0.63
"318","V0318",49,"Male","Scientist",0.74,0.39,0.26,0.3,0.54
"319","V0319",35,"Male","Sales",0.74,0.56,0.57,0.49,0.42
"320","V0320",56,"Female","Service Worker",0.78,0.72,0.59,0.56,0.78
"321","V0321",30,"Female","Sales",0.61,0.45,0.21,0.62,0.45
"322","V0322",47,"Female","Entrepreneur",0.72,0.06,0.16,0.69,0.09
"323","V0323",19,"Female","Medical",0.48,0.94,0.49,0.59,0.37
"324","V0324",45,"Male","Finance",0.48,0.39,0.5,0.51,0.51
"325","V0325",20,"Female","Student",0.87,0.77,0.3,0.38,0.67
"326","V0326",50,"Female","Medical",0.61,0.4,0.23,0.63,0.37
"327","V0327",64,"Female","IT Specialist",0.43,0.58,0.66,0.68,0.54
"328","V0328",46,"Female","Sales",0.58,0.44,0.42,0.63,0.51
"329","V0329",37,"Female","Sales",0.52,0.54,0.4,0.72,0.49
"330","V0330",60,"Female","Service Worker",0.32,0.52,0.68,0.5,0.4
"331","V0331",26,"Male","IT Specialist",0.59,0.33,0.77,0.48,0.58
"332","V0332",27,"Male","Entrepreneur",0.7,0.53,0.43,0.63,0.74
"333","V0333",24,"Male","Creative",0.74,0.54,0.59,0.43,0.22
"334","V0334",45,"Female","Sales",0.61,0.68,0.5,0.73,0.38
"335","V0335",35,"Male","Manager",0.88,0.44,0.36,0.38,0.54
"336","V0336",42,"Male","Entrepreneur",0.65,0.83,0.45,0.66,0.33
"337","V0337",61,"Male","Manager",0.23,0.65,0.55,0.68,0.66
"338","V0338",27,"Female","Sales",0.83,0.4,0.84,0.49,0.49
"339","V0339",26,"Male","Finance",0.48,0.39,0.25,0.63,0.57
"340","V0340",36,"Female","Medical",0.54,0.69,0.45,0.78,0.27
"341","V0341",32,"Male","Student",0.61,0.57,0.45,0.39,0.4
"342","V0342",63,"Male","Service Worker",0.49,0.33,0.43,0.52,0.26
"343","V0343",20,"Male","Service Worker",0.5,0.27,0.42,0.73,0.3
"344","V0344",39,"Male","Student",0.66,0.67,0.33,0.57,0.27
"345","V0345",37,"Male","IT Specialist",0.25,0.56,0,0.55,0.32
"346","V0346",59,"Female","Medical",0.62,0.71,0.43,0.73,0.86
"347","V0347",51,"Male","Finance",0.67,0.38,0.53,0.66,0.51
"348","V0348",40,"Male","Manager",0.62,0.72,0.4,0.61,0.38
"349","V0349",34,"Male","IT Specialist",0.72,0.45,0.5,0.6,0.71
"350","V0350",35,"Male","Manager",0.72,0.42,0.46,0.71,0.84
"351","V0351",36,"Female","Student",0.71,0.37,0.61,0.5,0.47
"352","V0352",63,"Female","Creative",0.84,0.57,0.68,0.62,0
"353","V0353",34,"Female","Scientist",0.52,0.38,0.45,0.61,0.22
"354","V0354",47,"Male","Finance",0.64,0.72,0.55,0.57,0.62
"355","V0355",27,"Male","Sales",0.57,0.51,0.38,0.51,0.63
"356","V0356",54,"Male","Entrepreneur",0.7,0.63,0.34,0.57,0.31
"357","V0357",62,"Male","Medical",0.53,0.59,0.68,0.57,0.13
"358","V0358",27,"Female","IT Specialist",0.5,0.45,0.55,0.52,0.73
"359","V0359",65,"Male","Student",0.66,0.36,0.28,0.73,0.69
"360","V0360",51,"Female","Student",0.57,0.5,0.21,0.68,0.62
"361","V0361",21,"Male","IT Specialist",0.49,0.35,0.79,0.61,0.86
"362","V0362",42,"Male","Creative",0.6,0.35,0.63,0.67,0.63
"363","V0363",43,"Male","Creative",0.68,0.6,0.25,0.65,0.37
"364","V0364",56,"Female","Student",0.57,0.51,0.6,0.64,0.42
"365","V0365",50,"Male","Entrepreneur",0.49,0.72,0.73,0.73,0.31
"366","V0366",63,"Male","Sales",0.67,0.7,0.7,0.55,0.6
"367","V0367",39,"Male","IT Specialist",0.43,0.31,0.44,0.7,0.61
